"type","a","a.","contacts"
"home","00-04","00-04",0.592072459665172
"home","05-09","00-04",0.271954337335907
"home","10-14","00-04",0.12421332560385
"home","15-19","00-04",0.0583007507335175
"home","20-24","00-04",0.123386546079114
"home","25-29","00-04",0.396485991276397
"home","30-34","00-04",0.569772880024619
"home","35-39","00-04",0.465074249621976
"home","40-44","00-04",0.186801905536461
"home","45-49","00-04",0.107773847844757
"home","50-54","00-04",0.167731166321135
"home","55-59","00-04",0.25425559383272
"home","60-64","00-04",0.270744266166099
"home","65-69","00-04",0.189086641653385
"home","70-74","00-04",0.0809194424382536
"home","75+?","00-04",0.165964116445542
"home","00-04","05-09",0.437309779331193
"home","05-09","05-09",0.849878569180184
"home","10-14","05-09",0.376400363627686
"home","15-19","05-09",0.114780390115667
"home","20-24","05-09",0.0566123262910799
"home","25-29","05-09",0.137084966430117
"home","30-34","05-09",0.528767210720485
"home","35-39","05-09",0.71165874563206
"home","40-44","05-09",0.457011527017663
"home","45-49","05-09",0.239847116401421
"home","50-54","05-09",0.144562024486296
"home","55-59","05-09",0.250673324355531
"home","60-64","05-09",0.239198909573913
"home","65-69","05-09",0.287945318941433
"home","70-74","05-09",0.244292944854188
"home","75+?","05-09",0.201260346510738
"home","00-04","10-14",0.200604854286422
"home","05-09","10-14",0.371932452773563
"home","10-14","10-14",1.35993593313212
"home","15-19","10-14",0.418479855335982
"home","20-24","10-14",0.076434388664089
"home","25-29","10-14",0.034841280256123
"home","30-34","10-14",0.219451940230962
"home","35-39","10-14",0.544765203672722
"home","40-44","10-14",0.646953106695121
"home","45-49","10-14",0.436496761891955
"home","50-54","10-14",0.284504851901508
"home","55-59","10-14",0.18265841938226
"home","60-64","10-14",0.175665439015571
"home","65-69","10-14",0.265412698973314
"home","70-74","10-14",0.230122754011188
"home","75+?","10-14",0.317853844859526
"home","00-04","15-19",0.0846454569293437
"home","05-09","15-19",0.116641183179751
"home","10-14","15-19",0.353181230857836
"home","15-19","15-19",1.23364359862047
"home","20-24","15-19",0.387866000739997
"home","25-29","15-19",0.0691296946220922
"home","30-34","15-19",0.0388179637762817
"home","35-39","15-19",0.196201036872012
"home","40-44","15-19",0.417652808858838
"home","45-49","15-19",0.64294681470229
"home","50-54","15-19",0.411182231352192
"home","55-59","15-19",0.284031309402882
"home","60-64","15-19",0.155203925773788
"home","65-69","15-19",0.155904897649548
"home","70-74","15-19",0.19550371412941
"home","75+?","15-19",0.248791442862244
"home","00-04","20-24",0.129332394820154
"home","05-09","20-24",0.031965085958618
"home","10-14","20-24",0.0473785864726689
"home","15-19","20-24",0.183147466814389
"home","20-24","20-24",1.28589128928354
"home","25-29","20-24",0.237529517794878
"home","30-34","20-24",0.0552048440744905
"home","35-39","20-24",0.0236144533034484
"home","40-44","20-24",0.0893054420248437
"home","45-49","20-24",0.345140443240143
