"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact.pp"
"ref","1-2","16-59","1-2","16-59","Home",2.7905404581208
"ref","3-10","16-59","1-2","16-59","Home",0
"ref","1-2","60+","1-2","16-59","Home",1.85023504834696
"ref","3-10","60+","1-2","16-59","Home",0
"ref","1-2","16-59","3-10","16-59","Home",0
"ref","3-10","16-59","3-10","16-59","Home",2.67525244525991
"ref","1-2","60+","3-10","16-59","Home",0
"ref","3-10","60+","3-10","16-59","Home",1.7432544658963
"ref","1-2","16-59","1-2","60+","Home",0.592457176176249
"ref","3-10","16-59","1-2","60+","Home",0
"ref","1-2","60+","1-2","60+","Home",1.28899034348109
"ref","3-10","60+","1-2","60+","Home",0
"ref","1-2","16-59","3-10","60+","Home",0
"ref","3-10","16-59","3-10","60+","Home",0.70774518903714
"ref","1-2","60+","3-10","60+","Home",0
"ref","3-10","60+","3-10","60+","Home",1.39597092593175
"ref","1-2","16-59","1-2","16-59","Other",4.77125214716351
"ref","3-10","16-59","1-2","16-59","Other",1.40397373501722
"ref","1-2","60+","1-2","16-59","Other",2.45340218003877
"ref","3-10","60+","1-2","16-59","Other",0.721930452628909
"ref","1-2","16-59","3-10","16-59","Other",5.39384282714922
"ref","3-10","16-59","3-10","16-59","Other",8.64369035123179
"ref","1-2","60+","3-10","16-59","Other",2.74661308944707
"ref","3-10","60+","3-10","16-59","Other",4.40147661335698
"ref","1-2","16-59","1-2","60+","Other",0.785595175547582
"ref","3-10","16-59","1-2","60+","Other",0.231166779454476
"ref","1-2","60+","1-2","60+","Other",1.17170955619707
"ref","3-10","60+","1-2","60+","Other",0.344783589554649
"ref","1-2","16-59","3-10","60+","Other",1.11509950969959
"ref","3-10","16-59","3-10","60+","Other",1.78695879385642
"ref","1-2","60+","3-10","60+","Other",1.49961537167268
"ref","3-10","60+","3-10","60+","Other",2.40314954181505
"2020-03","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-03","3-10","16-59","1-2","16-59","Home",0
"2020-03","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-03","3-10","60+","1-2","16-59","Home",0
"2020-03","1-2","16-59","3-10","16-59","Home",0
"2020-03","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-03","1-2","60+","3-10","16-59","Home",0
"2020-03","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-03","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-03","3-10","16-59","1-2","60+","Home",0
"2020-03","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-03","3-10","60+","1-2","60+","Home",0
"2020-03","1-2","16-59","3-10","60+","Home",0
"2020-03","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-03","1-2","60+","3-10","60+","Home",0
"2020-03","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-03","1-2","16-59","1-2","16-59","Other",4.48429675116229
"2020-03","3-10","16-59","1-2","16-59","Other",1.30804895715764
"2020-03","1-2","60+","1-2","16-59","Other",2.3058482523886
"2020-03","3-10","60+","1-2","16-59","Other",0.6726054427863
"2020-03","1-2","16-59","3-10","16-59","Other",5.0253151530917
"2020-03","3-10","16-59","3-10","16-59","Other",8.11994093422196
"2020-03","1-2","60+","3-10","16-59","Other",2.55895412980978
"2020-03","3-10","60+","3-10","16-59","Other",4.13477677607051
"2020-03","1-2","16-59","1-2","60+","Other",0.738347457811699
"2020-03","3-10","16-59","1-2","60+","Other",0.215372593698279
"2020-03","1-2","60+","1-2","60+","Other",1.10123992488722
"2020-03","3-10","60+","1-2","60+","Other",0.321226675053503
"2020-03","1-2","16-59","3-10","60+","Other",1.03891170782598
"2020-03","3-10","16-59","3-10","60+","Other",1.6786811267406
"2020-03","1-2","60+","3-10","60+","Other",1.39715599667537
"2020-03","3-10","60+","3-10","60+","Other",2.25753486563294
"2020-04","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-04","3-10","16-59","1-2","16-59","Home",0
"2020-04","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-04","3-10","60+","1-2","16-59","Home",0
"2020-04","1-2","16-59","3-10","16-59","Home",0
"2020-04","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-04","1-2","60+","3-10","16-59","Home",0
"2020-04","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-04","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-04","3-10","16-59","1-2","60+","Home",0
"2020-04","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-04","3-10","60+","1-2","60+","Home",0
"2020-04","1-2","16-59","3-10","60+","Home",0
"2020-04","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-04","1-2","60+","3-10","60+","Home",0
"2020-04","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-04","1-2","16-59","1-2","16-59","Other",3.96436127555208
"2020-04","3-10","16-59","1-2","16-59","Other",0.556973551179557
"2020-04","1-2","60+","1-2","16-59","Other",2.03849477996733
"2020-04","3-10","60+","1-2","16-59","Other",0.286398639715619
"2020-04","1-2","16-59","3-10","16-59","Other",2.13980341584156
"2020-04","3-10","16-59","3-10","16-59","Other",5.74596313714468
"2020-04","1-2","60+","3-10","16-59","Other",1.08961500346502
"2020-04","3-10","60+","3-10","16-59","Other",2.92591721147779
"2020-04","1-2","16-59","1-2","60+","Other",0.652739154448766
"2020-04","3-10","16-59","1-2","60+","Other",0.0917066885627474
"2020-04","1-2","60+","1-2","60+","Other",0.973555755912722
"2020-04","3-10","60+","1-2","60+","Other",0.136779866654936
"2020-04","1-2","16-59","3-10","60+","Other",0.44237361308497
"2020-04","3-10","16-59","3-10","60+","Other",1.18789532478246
"2020-04","1-2","60+","3-10","60+","Other",0.594915758131146
"2020-04","3-10","60+","3-10","60+","Other",1.59751311294343
"2020-05","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-05","3-10","16-59","1-2","16-59","Home",0
"2020-05","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-05","3-10","60+","1-2","16-59","Home",0
"2020-05","1-2","16-59","3-10","16-59","Home",0
"2020-05","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-05","1-2","60+","3-10","16-59","Home",0
"2020-05","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-05","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-05","3-10","16-59","1-2","60+","Home",0
"2020-05","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-05","3-10","60+","1-2","60+","Home",0
"2020-05","1-2","16-59","3-10","60+","Home",0
"2020-05","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-05","1-2","60+","3-10","60+","Home",0
"2020-05","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-05","1-2","16-59","1-2","16-59","Other",4.13065785968624
"2020-05","3-10","16-59","1-2","16-59","Other",0.878044851585797
"2020-05","1-2","60+","1-2","16-59","Other",2.12400533138312
"2020-05","3-10","60+","1-2","16-59","Other",0.451495139348917
"2020-05","1-2","16-59","3-10","16-59","Other",3.37330806589717
"2020-05","3-10","16-59","3-10","16-59","Other",6.75981328714074
"2020-05","1-2","60+","3-10","16-59","Other",1.71773119563208
"2020-05","3-10","60+","3-10","16-59","Other",3.44218254993015
"2020-05","1-2","16-59","1-2","60+","Other",0.680120183616026
"2020-05","3-10","16-59","1-2","60+","Other",0.144571650804553
"2020-05","1-2","60+","1-2","60+","Other",1.01439436405645
"2020-05","3-10","60+","1-2","60+","Other",0.215627577759507
