"FSA","decile"
"K0A",9
"K0B",9
"K0C",9
"K0E",10
"K0G",9
"K0H",10
"K0J",9
"K0K",10
"K0L",10
"K0M",9
"K1B",7
"K1C",7
"K1E",8
"K1G",4
"K1H",8
"K1J",4
"K1K",4
"K1L",5
"K1M",7
"K1N",4
"K1R",1
"K1S",8
"K1T",3
"K1V",4
"K1W",4
"K1X",5
"K1Y",9
"K1Z",5
"K2A",9
"K2B",4
"K2C",6
"K2E",6
"K2G",6
"K2H",7
"K2J",7
"K2K",9
"K2L",8
"K2M",9
"K2P",8
"K2R",8
"K2S",8
"K2T",9
"K2V",3
"K2W",8
"K4A",5
"K4B",8
"K4C",6
"K4K",8
"K4M",8
"K4P",8
"K4R",8
"K6A",8
"K6H",6
"K6J",7
"K6K",9
"K6V",10
"K7A",9
"K7C",9
"K7G",8
"K7H",9
"K7K",9
"K7L",8
"K7M",9
"K7N",10
"K7P",9
"K7R",10
"K7S",10
"K7V",10
"K8A",9
"K8H",9
"K8N",10
"K8P",9
"K8R",9
"K8V",10
"K9A",9
"K9H",9
"K9J",9
"K9K",9
"K9L",10
"K9V",10
"L0A",10
"L0B",8
"L0C",8
"L0E",8
"L0G",4
"L0H",6
"L0J",2
"L0K",9
"L0L",9
"L0M",8
"L0N",5
"L0P",5
"L0R",5
"L0S",8
"L1A",9
"L1B",8
"L1C",8
"L1E",8
"L1G",7
"L1H",7
"L1J",7
"L1K",6
"L1L",4
"L1M",8
"L1N",6
"L1P",4
"L1R",5
"L1S",3
"L1T",2
"L1V",3
"L1W",5
"L1X",2
"L1Y",5
"L1Z",2
"L2A",7
"L2E",5
"L2G",3
"L2H",3
"L2J",5
"L2M",6
"L2N",6
"L2P",6
"L2R",4
"L2S",6
"L2T",5
"L2V",5
"L2W",9
"L3B",7
"L3C",7
"L3K",9
"L3M",7
"L3P",6
"L3R",4
"L3S",2
"L3T",5
"L3V",9
"L3X",5
"L3Y",5
"L3Z",3
"L4A",5
"L4B",7
"L4C",4
"L4E",4
"L4G",6
"L4H",2
"L4J",3
"L4K",2
"L4L",2
"L4M",7
"L4N",7
"L4P",8
"L4R",8
"L4S",6
"L4T",1
"L4W",3
"L4X",3
"L4Y",4
"L4Z",2
"L5A",2
"L5B",3
"L5C",3
"L5E",4
"L5G",5
"L5H",5
"L5J",6
"L5K",3
"L5L",3
"L5M",3
"L5N",3
"L5R",2
"L5V",2
"L5W",1
"L6A",2
"L6B",2
"L6C",7
"L6E",4
"L6G",5
"L6H",5
"L6J",8
"L6K",5
"L6L",6
"L6M",7
"L6P",1
"L6R",1
"L6S",1
"L6T",1
"L6V",1
"L6W",1
"L6X",1
"L6Y",1
"L6Z",2
"L7A",1
"L7B",3
"L7C",1
"L7E",3
"L7G",6
"L7J",9
"L7K",4
"L7L",7
"L7M",6
"L7N",7
"L7P",6
"L7R",7
"L7S",6
"L7T",7
"L8E",4
"L8G",5
"L8H",5
"L8J",4
"L8K",5
"L8L",4
"L8M",5
"L8N",4
"L8P",5
"L8R",4
"L8S",4
"L8T",5
"L8V",4
"L8W",3
"L9A",4
