FSA,km2
L1J,23.361844578
L1N,36.1794253699999
K1R,4.269871341
K1S,7.001877076
K1T,46.460975537
K1V,35.5698815429999
K0A,3410.45237087599
K0B,1290.45474371
K0C,2434.574176748
K0E,2152.549814262
K0G,2708.06079540399
K0H,5908.95957497099
K0J,7602.296176147
K0K,5728.321048154
K0L,7709.093420972
K0M,5162.91400449199
K1B,10.4334721229999
K1C,19.01503405
K1E,6.30112995199999
K1K,16.068211221
K1L,3.48584203599999
K1M,3.063101893
K1N,4.90333179899999
K1P,0.435391371999999
K8P,12.209481208
K8R,10.653326276
K1W,10.0270936339999
K1X,24.1593227019999
K1Y,6.952839608
K1Z,7.57673221399999
K2A,6.166710945
K2B,11.048250114
K2C,14.4235656459999
K2E,11.0131669039999
K2G,28.7371787609999
K2H,32.248345366
K2J,48.758407365
K2K,15.4027955879999
K2L,6.47180613499999
K2M,9.162067142
K2P,1.333117049
K2R,50.7264540459999
K1G,35.8950902669999
K1H,7.292639245
K1J,15.4063833619999
K6K,12.803460786
K6T,24.766006431
K6V,191.683999895999
K7A,458.717640433
K7C,195.782468233
K7G,103.722405481
K7H,686.531992141999
K7K,30.9295369609999
K7L,149.480922969
K7M,46.3362028079999
K7N,4.04533074099999
K7P,29.9185623509999
K7R,336.934938413999
K7S,132.689905641
K7V,692.252235791
K8A,659.514352697999
K8B,4.022153006
K8H,180.835174455
K8N,202.192863881
K8V,156.865509166
K9A,179.773925773
K9J,267.304991233
K9V,264.941822898999
L0A,665.976513335999
L0B,541.569226398
L0C,347.769809148999
L0E,587.344312218
L0G,643.787688873
L0H,75.500294011
L0K,2078.08174847699
L0L,1371.96662347799
L0M,915.90166059
L0N,398.015420032
L0P,276.120183211
K9H,24.580523418
K9K,10.1810441569999
K9L,27.33533616
L0J,46.4126414179999
L0R,1145.33553564599
L0S,625.383774253999
L1A,201.189147125
L1B,73.8239188649999
L1C,186.995654342999
L1E,22.157773813
L1G,19.8949034699999
L1H,71.850489805
K2S,133.305924856
K2T,11.771619118
K2V,1.380808837
K2W,70.6219073369999
K4A,27.5932062039999
K4B,161.141040226999
K4C,42.3402769139999
K4K,65.6122772999999
K4M,50.311604401
K4P,61.120174075
K4R,88.753437582
K6A,88.2350697399999
K6H,77.4985352779999
K6J,25.6427365679999
L1K,14.567284648
L1L,17.2190103839999
L1M,32.7735563
L2A,42.8240394249999
