"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"ref","1-2","16-59","1-2","16-59","Home",3030491.54219731
"ref","3-10","16-59","1-2","16-59","Home",0
"ref","1-2","60+","1-2","16-59","Home",807094.877052283
"ref","3-10","60+","1-2","16-59","Home",0
"ref","1-2","16-59","3-10","16-59","Home",0
"ref","3-10","16-59","3-10","16-59","Home",10923323.2868124
"ref","1-2","60+","3-10","16-59","Home",0
"ref","3-10","60+","3-10","16-59","Home",3676926.71318757
"ref","1-2","16-59","1-2","60+","Home",807094.877052283
"ref","3-10","16-59","1-2","60+","Home",0
"ref","1-2","60+","1-2","60+","Home",272834.210196039
"ref","3-10","60+","1-2","60+","Home",0
"ref","1-2","16-59","3-10","60+","Home",0
"ref","3-10","16-59","3-10","60+","Home",3676926.71318757
"ref","1-2","60+","3-10","60+","Home",0
"ref","3-10","60+","3-10","60+","Home",1532422.13245002
"ref","1-2","16-59","1-2","16-59","Other",5253608.17254037
"ref","3-10","16-59","1-2","16-59","Other",7095075.55952028
"ref","1-2","60+","1-2","16-59","Other",818239.903535034
"ref","3-10","60+","1-2","16-59","Other",1401090.14937228
"ref","1-2","16-59","3-10","16-59","Other",7140069.11008478
"ref","3-10","16-59","3-10","16-59","Other",39620873.4716299
"ref","1-2","60+","3-10","16-59","Other",1105045.09486257
"ref","3-10","60+","3-10","16-59","Other",7774772.85930177
"ref","1-2","16-59","1-2","60+","Other",818239.903535034
"ref","3-10","16-59","1-2","60+","Other",1105045.09486257
"ref","1-2","60+","1-2","60+","Other",297578.159921334
"ref","3-10","60+","1-2","60+","Other",509549.615867955
"ref","1-2","16-59","3-10","60+","Other",1401090.14937228
"ref","3-10","16-59","3-10","60+","Other",7774772.85930177
"ref","1-2","60+","3-10","60+","Other",464556.065303454
"ref","3-10","60+","3-10","60+","Other",3268480.08731671
"2020-03","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-03","3-10","16-59","1-2","16-59","Home",0
"2020-03","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-03","3-10","60+","1-2","16-59","Home",0
"2020-03","1-2","16-59","3-10","16-59","Home",0
"2020-03","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-03","1-2","60+","3-10","16-59","Home",0
"2020-03","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-03","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-03","3-10","16-59","1-2","60+","Home",0
"2020-03","1-2","60+","1-2","60+","Home",272834.210196039
"2020-03","3-10","60+","1-2","60+","Home",0
"2020-03","1-2","16-59","3-10","60+","Home",0
"2020-03","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-03","1-2","60+","3-10","60+","Home",0
"2020-03","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-03","1-2","16-59","1-2","16-59","Other",4949353.54291114
"2020-03","3-10","16-59","1-2","16-59","Other",6401263.09722001
"2020-03","1-2","60+","1-2","16-59","Other",770852.799163768
"2020-03","3-10","60+","1-2","16-59","Other",1264080.50116124
"2020-03","1-2","16-59","3-10","16-59","Other",6441856.8234496
"2020-03","3-10","16-59","3-10","16-59","Other",35760390.9191394
"2020-03","1-2","60+","3-10","16-59","Other",996985.067624287
"2020-03","3-10","60+","3-10","16-59","Other",7017233.40236874
"2020-03","1-2","16-59","1-2","60+","Other",770852.799163768
"2020-03","3-10","16-59","1-2","60+","Other",996985.067624287
"2020-03","1-2","60+","1-2","60+","Other",280344.378897114
"2020-03","3-10","60+","1-2","60+","Other",459721.834516828
"2020-03","1-2","16-59","3-10","60+","Other",1264080.50116124
"2020-03","3-10","16-59","3-10","60+","Other",7017233.40236874
"2020-03","1-2","60+","3-10","60+","Other",419128.108287234
"2020-03","3-10","60+","3-10","60+","Other",2950013.85362089
"2020-04","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-04","3-10","16-59","1-2","16-59","Home",0
"2020-04","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-04","3-10","60+","1-2","16-59","Home",0
"2020-04","1-2","16-59","3-10","16-59","Home",0
"2020-04","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-04","1-2","60+","3-10","16-59","Home",0
"2020-04","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-04","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-04","3-10","16-59","1-2","60+","Home",0
"2020-04","1-2","60+","1-2","60+","Home",272834.210196039
"2020-04","3-10","60+","1-2","60+","Home",0
"2020-04","1-2","16-59","3-10","60+","Home",0
"2020-04","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-04","1-2","60+","3-10","60+","Home",0
"2020-04","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-04","1-2","16-59","1-2","16-59","Other",4166860.56999732
"2020-04","3-10","16-59","1-2","16-59","Other",2600200.60785677
"2020-04","1-2","60+","1-2","16-59","Other",648980.943927131
"2020-04","3-10","60+","1-2","16-59","Other",513470.988081523
"2020-04","1-2","16-59","3-10","16-59","Other",2616689.82725212
"2020-04","3-10","16-59","3-10","16-59","Other",23650977.8038859
"2020-04","1-2","60+","3-10","16-59","Other",404976.508462311
"2020-04","3-10","60+","3-10","16-59","Other",4641012.78477029
"2020-04","1-2","16-59","1-2","60+","Other",648980.943927131
"2020-04","3-10","16-59","1-2","60+","Other",404976.508462311
"2020-04","1-2","60+","1-2","60+","Other",236021.922523578
"2020-04","3-10","60+","1-2","60+","Other",186739.550523212
"2020-04","1-2","16-59","3-10","60+","Other",513470.988081523
"2020-04","3-10","16-59","3-10","60+","Other",4641012.78477029
"2020-04","1-2","60+","3-10","60+","Other",170250.331127871
"2020-04","3-10","60+","3-10","60+","Other",1951061.22667695
"2020-05","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-05","3-10","16-59","1-2","16-59","Home",0
"2020-05","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-05","3-10","60+","1-2","16-59","Home",0
"2020-05","1-2","16-59","3-10","16-59","Home",0
"2020-05","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-05","1-2","60+","3-10","16-59","Home",0
"2020-05","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-05","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-05","3-10","16-59","1-2","60+","Home",0
