"decile","decile.visited","month","visit.prop"
"1","1","2020-01",0.193506255913105
"1","2","2020-01",0.0969288784137504
"1","3","2020-01",0.0677436464361136
"1","4","2020-01",0.0425569051430642
"1","5","2020-01",0.0484400644529924
"1","6","2020-01",0.0413557078018398
"1","7","2020-01",0.0366617408617231
"1","8","2020-01",0.0262977284875837
"1","9","2020-01",0.0198360712868999
"1","10","2020-01",0.0135804584956494
"2","1","2020-01",0.106590009060306
"2","2","2020-01",0.138885719095268
"2","3","2020-01",0.0959286751349746
"2","4","2020-01",0.0642490344452896
"2","5","2020-01",0.072171447098148
"2","6","2020-01",0.0547757613942244
"2","7","2020-01",0.0482622405623215
"2","8","2020-01",0.0260002528584259
"2","9","2020-01",0.0216086234200246
"2","10","2020-01",0.0120750732438171
"3","1","2020-01",0.0685711957446821
"3","2","2020-01",0.0900413440404576
"3","3","2020-01",0.0997560736649573
"3","4","2020-01",0.0807724540755886
"3","5","2020-01",0.0875203339204909
"3","6","2020-01",0.0572506788237624
"3","7","2020-01",0.0498413486308947
"3","8","2020-01",0.0339127578652153
"3","9","2020-01",0.0271481954943391
"3","10","2020-01",0.0158903271613718
"4","1","2020-01",0.0565599649742397
"4","2","2020-01",0.0709756161267968
"4","3","2020-01",0.0869431800493822
"4","4","2020-01",0.0910413700087418
"4","5","2020-01",0.108178933334664
"4","6","2020-01",0.0823786207826948
"4","7","2020-01",0.0697910508609808
"4","8","2020-01",0.0463254638232576
"4","9","2020-01",0.0369469146827072
"4","10","2020-01",0.0184023371033532
"5","1","2020-01",0.0545905153118688
"5","2","2020-01",0.057991008932274
"5","3","2020-01",0.0864113451074259
"5","4","2020-01",0.107860107334865
"5","5","2020-01",0.10922943416469
"5","6","2020-01",0.0878413658638783
"5","7","2020-01",0.080928810068787
"5","8","2020-01",0.0602141286830739
"5","9","2020-01",0.0463949125343013
"5","10","2020-01",0.0235815255301993
"6","1","2020-01",0.0553429441619527
"6","2","2020-01",0.055003333909523
"6","3","2020-01",0.0659646626571083
"6","4","2020-01",0.0878568409236567
"6","5","2020-01",0.104659840805424
"6","6","2020-01",0.0825186837837039
"6","7","2020-01",0.0944146907775215
"6","8","2020-01",0.0581150977415277
"6","9","2020-01",0.0504553355106672
"6","10","2020-01",0.0249961670131136
"7","1","2020-01",0.0455442726877784
"7","2","2020-01",0.0455654562138158
"7","3","2020-01",0.051846600924482
"7","4","2020-01",0.0814315192107058
"7","5","2020-01",0.0896697098167291
"7","6","2020-01",0.0934097848919359
"7","7","2020-01",0.0928259368306301
"7","8","2020-01",0.0595254874781197
"7","9","2020-01",0.0557803935324969
"7","10","2020-01",0.0231048077903007
"8","1","2020-01",0.03986641923843
"8","2","2020-01",0.0367202034884387
"8","3","2020-01",0.0465601136411282
"8","4","2020-01",0.0736849857121803
"8","5","2020-01",0.0769133047778359
"8","6","2020-01",0.0760808087887648
"8","7","2020-01",0.0846911793728803
"8","8","2020-01",0.102434931680085
"8","9","2020-01",0.0859460730036186
"8","10","2020-01",0.0337231323495462
"9","1","2020-01",0.0340393090910605
"9","2","2020-01",0.0255280011449033
"9","3","2020-01",0.0330686194686635
"9","4","2020-01",0.0469877173025472
"9","5","2020-01",0.0476397304050965
"9","6","2020-01",0.0508746323233354
"9","7","2020-01",0.0671764455507225
"9","8","2020-01",0.077490701133232
"9","9","2020-01",0.110710918852151
"9","10","2020-01",0.0696579406870982
"10","1","2020-01",0.025710122155776
"10","2","2020-01",0.018833853940955
"10","3","2020-01",0.0248491978381072
"10","4","2020-01",0.0253108869917485
"10","5","2020-01",0.0315845972160582
"10","6","2020-01",0.0282783551810257
"10","7","2020-01",0.034142574694842
"10","8","2020-01",0.0391415580029736
"10","9","2020-01",0.0888610652646196
"10","10","2020-01",0.167002962408001
"1","1","2020-02",0.21484350630025
"1","2","2020-02",0.107630918332977
"1","3","2020-02",0.0748465619824443
"1","4","2020-02",0.0452392157813227
"1","5","2020-02",0.0531183274170576
