FSA,agegrp,pop_agefsa,decile
K0A,<16,20042.4,9
K0A,16-39,31739.6,9
K0A,40-44,7015,9
K0A,45-49,7611,9
K0A,50-54,8333,9
K0A,55-59,10120,9
K0A,60-64,8665,9
K0A,65-69,6893,9
K0A,70-74,5549,9
K0A,75-79,3551,9
K0A,80+,3608,9
K0B,<16,3143.2,9
K0B,16-39,5594.8,9
K0B,40-44,1149,9
K0B,45-49,1273,9
K0B,50-54,1640,9
K0B,55-59,2099,9
K0B,60-64,1997,9
K0B,65-69,1595,9
K0B,70-74,1319,9
K0B,75-79,981,9
K0B,80+,1029,9
K0C,<16,8647.4,9
K0C,16-39,13942.6,9
K0C,40-44,2944,9
K0C,45-49,3260,9
K0C,50-54,3730,9
K0C,55-59,4950,9
K0C,60-64,4632,9
K0C,65-69,3923,9
K0C,70-74,3286,9
K0C,75-79,2260,9
K0C,80+,2864,9
K0E,<16,6190,10
K0E,16-39,10229,10
K0E,40-44,2173,10
K0E,45-49,2462,10
K0E,50-54,2971,10
K0E,55-59,3698,10
K0E,60-64,3552,10
K0E,65-69,3052,10
K0E,70-74,2735,10
K0E,75-79,1736,10
K0E,80+,1743,10
K0G,<16,6059.4,9
K0G,16-39,10018.6,9
K0G,40-44,2083,9
K0G,45-49,2447,9
K0G,50-54,2819,9
K0G,55-59,3765,9
K0G,60-64,3612,9
K0G,65-69,3272,9
K0G,70-74,2660,9
K0G,75-79,1641,9
K0G,80+,1741,9
K0H,<16,6706.6,10
K0H,16-39,11356.4,10
K0H,40-44,2362,10
K0H,45-49,2758,10
K0H,50-54,3324,10
K0H,55-59,4419,10
K0H,60-64,4353,10
K0H,65-69,3717,10
K0H,70-74,3045,10
K0H,75-79,1969,10
K0H,80+,2034,10
K0J,<16,5142.4,9
K0J,16-39,8200.6,9
K0J,40-44,1754,9
K0J,45-49,1905,9
K0J,50-54,2202,9
K0J,55-59,3127,9
K0J,60-64,3321,9
K0J,65-69,2984,9
K0J,70-74,2431,9
K0J,75-79,1666,9
K0J,80+,1944,9
K0K,<16,17848.6,10
K0K,16-39,29853.4,10
K0K,40-44,6196,10
K0K,45-49,6832,10
K0K,50-54,7740,10
K0K,55-59,10917,10
K0K,60-64,10776,10
K0K,65-69,9619,10
K0K,70-74,8288,10
K0K,75-79,5078,10
K0K,80+,5975,10
K0L,<16,10677.8,10
K0L,16-39,18635.2,10
K0L,40-44,3770,10
K0L,45-49,4076,10
K0L,50-54,5040,10
K0L,55-59,7121,10
K0L,60-64,7765,10
K0L,65-69,6963,10
K0L,70-74,5705,10
K0L,75-79,3669,10
K0L,80+,4083,10
K0M,<16,6350.2,9
K0M,16-39,11886.8,9
K0M,40-44,2342,9
K0M,45-49,2623,9
K0M,50-54,3277,9
K0M,55-59,5033,9
K0M,60-64,5559,9
K0M,65-69,5144,9
K0M,70-74,4340,9
K0M,75-79,2895,9
K0M,80+,3366,9
K1B,<16,3617.6,7
K1B,16-39,6158.4,7
K1B,40-44,1206,7
K1B,45-49,1165,7
K1B,50-54,1186,7
K1B,55-59,1347,7
K1B,60-64,1173,7
K1B,65-69,1003,7
K1B,70-74,861,7
K1B,75-79,628,7
K1B,80+,722,7
K1C,<16,6239.6,7
K1C,16-39,11523.4,7
K1C,40-44,2375,7
K1C,45-49,2447,7
K1C,50-54,2505,7
K1C,55-59,3156,7
K1C,60-64,3289,7
K1C,65-69,2818,7
K1C,70-74,2401,7
K1C,75-79,1447,7
K1C,80+,1663,7
K1E,<16,2285.2,8
K1E,16-39,4590.8,8
K1E,40-44,883,8
K1E,45-49,900,8
K1E,50-54,986,8
K1E,55-59,1304,8
K1E,60-64,1432,8
K1E,65-69,1174,8
K1E,70-74,982,8
K1E,75-79,599,8
K1E,80+,573,8
K1G,<16,5764.4,4
K1G,16-39,12607.6,4
K1G,40-44,2128,4
K1G,45-49,2116,4
K1G,50-54,2247,4
K1G,55-59,2640,4
K1G,60-64,2433,4
K1G,65-69,1812,4
K1G,70-74,1423,4
K1G,75-79,1072,4
K1G,80+,2257,4
K1H,<16,2714.6,8
K1H,16-39,4717.4,8
K1H,40-44,1034,8
K1H,45-49,1015,8
K1H,50-54,1087,8
K1H,55-59,1234,8
K1H,60-64,1133,8
K1H,65-69,986,8
K1H,70-74,929,8
K1H,75-79,664,8
K1H,80+,1167,8
K1J,<16,5040.6,4
K1J,16-39,9002.4,4
K1J,40-44,1928,4
K1J,45-49,1964,4
K1J,50-54,1923,4
K1J,55-59,1983,4
K1J,60-64,1892,4
K1J,65-69,1590,4
K1J,70-74,1464,4
K1J,75-79,1173,4
K1J,80+,1555,4
K1K,<16,5397,4
K1K,16-39,10148,4
K1K,40-44,2150,4
K1K,45-49,2004,4
K1K,50-54,2365,4
K1K,55-59,2502,4
K1K,60-64,2412,4
K1K,65-69,1864,4
K1K,70-74,1612,4
K1K,75-79,1288,4
K1K,80+,1966,4
K1L,<16,2306,5
K1L,16-39,6412,5
K1L,40-44,1207,5
K1L,45-49,1121,5
K1L,50-54,1144,5
K1L,55-59,1435,5
K1L,60-64,1382,5
K1L,65-69,1085,5
K1L,70-74,925,5
K1L,75-79,648,5
K1L,80+,894,5
K1M,<16,990.2,7
K1M,16-39,1914.8,7
K1M,40-44,450,7
K1M,45-49,491,7
K1M,50-54,556,7
K1M,55-59,530,7
K1M,60-64,496,7
K1M,65-69,487,7
K1M,70-74,522,7
K1M,75-79,375,7
K1M,80+,522,7
K1N,<16,2811,4
K1N,16-39,11429,4
K1N,40-44,1785,4
K1N,45-49,1666,4
K1N,50-54,1675,4
K1N,55-59,1712,4
K1N,60-64,1441,4
K1N,65-69,1224,4
K1N,70-74,1121,4
K1N,75-79,804,4
K1N,80+,1230,4
K1R,<16,1936.6,1
K1R,16-39,8980.4,1
K1R,40-44,1541,1
K1R,45-49,1349,1
K1R,50-54,1293,1
K1R,55-59,1309,1
K1R,60-64,1111,1
K1R,65-69,832,1
K1R,70-74,712,1
K1R,75-79,441,1
K1R,80+,663,1
K1S,<16,4402.8,8
K1S,16-39,10605.2,8
K1S,40-44,2049,8
K1S,45-49,2109,8
K1S,50-54,2185,8
K1S,55-59,2070,8
K1S,60-64,1796,8
K1S,65-69,1610,8
K1S,70-74,1570,8
K1S,75-79,935,8
K1S,80+,1155,8
K1T,<16,8490.6,3
K1T,16-39,13637.4,3
K1T,40-44,2604,3
K1T,45-49,2693,3
K1T,50-54,2808,3
K1T,55-59,2963,3
K1T,60-64,2344,3
K1T,65-69,1663,3
K1T,70-74,1196,3
K1T,75-79,705,3
K1T,80+,953,3
K1V,<16,11651,4
K1V,16-39,19494,4
K1V,40-44,3905,4
K1V,45-49,3932,4
K1V,50-54,3854,4
K1V,55-59,3859,4
K1V,60-64,3223,4
K1V,65-69,2690,4
K1V,70-74,2475,4
K1V,75-79,1731,4
K1V,80+,2597,4
K1W,<16,2527.6,4
K1W,16-39,4197.4,4
K1W,40-44,896,4
K1W,45-49,912,4
K1W,50-54,966,4
K1W,55-59,1006,4
K1W,60-64,656,4
K1W,65-69,499,4
K1W,70-74,390,4
K1W,75-79,236,4
K1W,80+,292,4
K1X,<16,325,5
K1X,16-39,521,5
K1X,40-44,140,5
K1X,45-49,126,5
K1X,50-54,101,5
K1X,55-59,130,5
K1X,60-64,108,5
K1X,65-69,66,5
K1X,70-74,44,5
K1X,75-79,48,5
K1X,80+,50,5
K1Y,<16,3336.6,9
K1Y,16-39,7373.4,9
K1Y,40-44,1653,9
K1Y,45-49,1474,9
K1Y,50-54,1447,9
K1Y,55-59,1540,9
K1Y,60-64,1294,9
K1Y,65-69,1190,9
K1Y,70-74,959,9
K1Y,75-79,579,9
K1Y,80+,768,9
K1Z,<16,4017.6,5
K1Z,16-39,8259.4,5
K1Z,40-44,1678,5
K1Z,45-49,1588,5
K1Z,50-54,1450,5
K1Z,55-59,1707,5
K1Z,60-64,1515,5
K1Z,65-69,1201,5
K1Z,70-74,950,5
K1Z,75-79,562,5
K1Z,80+,779,5
K2A,<16,2785.6,9
K2A,16-39,4733.4,9
K2A,40-44,1144,9
K2A,45-49,1280,9
K2A,50-54,1275,9
K2A,55-59,1426,9
K2A,60-64,1276,9
K2A,65-69,1137,9
K2A,70-74,1033,9
K2A,75-79,683,9
K2A,80+,1379,9
K2B,<16,5734,4
K2B,16-39,11748,4
K2B,40-44,2097,4
K2B,45-49,2026,4
K2B,50-54,2032,4
K2B,55-59,2430,4
K2B,60-64,2186,4
K2B,65-69,1928,4
K2B,70-74,1704,4
K2B,75-79,1278,4
K2B,80+,2277,4
K2C,<16,4251.8,6
K2C,16-39,10200.2,6
K2C,40-44,1744,6
K2C,45-49,1737,6
K2C,50-54,1853,6
