FSA,decile
"K0A",9
"K0B",9
"K0C",8
"K0E",10
"K0G",9
"K0H",10
"K0J",10
"K0K",10
"K0L",10
"K0M",9
"K1B",7
"K1C",7
"K1E",9
"K1G",4
"K1H",7
"K1J",6
"K1K",4
"K1L",6
"K1M",8
"K1N",4
"K1P",9
"K1R",8
"K1S",9
"K1T",3
"K1V",4
"K1W",4
"K1X",8
"K1Y",9
"K1Z",6
"K2A",9
"K2B",5
"K2C",7
"K2E",6
"K2G",7
"K2H",8
"K2J",8
"K2K",9
"K2L",9
"K2M",9
"K2P",8
"K2R",9
"K2S",8
"K2T",10
"K2V",6
"K2W",9
"K4A",5
"K4B",8
"K4C",6
"K4K",7
"K4M",9
"K4P",8
"K4R",8
"K6A",7
"K6H",5
"K6J",6
"K6K",7
"K6T",10
"K6V",10
"K7A",9
"K7C",9
"K7G",9
"K7H",7
"K7K",10
"K7L",8
"K7M",10
"K7N",10
"K7P",10
"K7R",10
"K7S",10
"K7V",10
"K8A",10
"K8B",9
"K8H",10
"K8N",10
"K8P",10
"K8R",10
"K8V",10
"K9A",9
"K9H",10
"K9J",10
"K9K",9
"K9L",10
"K9V",9
"L0A",10
"L0B",9
"L0C",9
"L0E",8
"L0G",4
"L0H",6
"L0J",2
"L0K",10
"L0L",9
"L0M",9
"L0N",9
"L0P",6
"L0R",5
"L0S",7
"L1A",10
"L1B",8
"L1C",8
"L1E",8
"L1G",7
"L1H",7
"L1J",7
"L1K",6
"L1L",4
"L1M",8
"L1N",7
"L1P",5
"L1R",5
"L1S",4
"L1T",2
"L1V",3
"L1W",6
"L1X",2
"L1Y",7
"L1Z",2
"L2A",7
"L2E",6
"L2G",4
"L2H",4
"L2J",6
"L2M",6
"L2N",6
"L2P",6
"L2R",4
"L2S",5
"L2T",6
"L2V",5
"L2W",8
"L3B",6
"L3C",6
"L3K",9
"L3M",7
"L3P",6
"L3R",5
"L3S",2
"L3T",5
"L3V",10
"L3X",5
"L3Y",6
"L3Z",3
"L4A",5
"L4B",7
"L4C",3
"L4E",4
"L4G",6
"L4H",1
"L4J",2
"L4K",2
"L4L",2
"L4M",8
"L4N",6
"L4P",6
"L4R",9
"L4S",6
"L4T",1
"L4W",2
"L4X",3
"L4Y",3
"L4Z",2
"L5A",2
"L5B",3
"L5C",3
"L5E",5
"L5G",5
"L5H",6
"L5J",6
"L5K",3
"L5L",4
"L5M",4
"L5N",3
"L5R",2
"L5V",2
"L5W",2
"L6A",2
"L6B",3
"L6C",8
"L6E",5
"L6G",7
"L6H",6
"L6J",8
"L6K",6
"L6L",8
"L6M",7
"L6P",1
"L6R",1
"L6S",1
"L6T",1
"L6V",2
"L6W",1
"L6X",1
"L6Y",1
"L6Z",2
"L7A",1
"L7B",3
"L7C",2
"L7E",3
"L7G",5
"L7J",8
"L7K",5
"L7L",7
"L7M",7
"L7N",8
"L7P",7
"L7R",7
"L7S",7
"L7T",8
"L8B",7
"L8E",4
"L8G",5
"L8H",5
"L8J",3
"L8K",4
"L8L",4
"L8M",5
"L8N",3
"L8P",5
"L8R",4
"L8S",5
"L8T",4
