FSA,month,time.away.intra.mean,time.away.intra.median,time.away.inter.mean,time.away.inter.median
K0A,2020-01,0.124330257,0.000566672,0.060312262,0
K0B,2020-01,0.105416905,0,0.076922238,0
K0C,2020-01,0.098417351,0,0.076929132,0
K0E,2020-01,0.119993993,0,0.071370172,0
K0G,2020-01,0.152489558,0,0.040482631,0
K0H,2020-01,0.137041419,0,0.066374326,0
K0J,2020-01,0.113351603,0,0.067692771,0
K0K,2020-01,0.116973201,0,0.07297363,0
K0L,2020-01,0.097431526,0,0.0946381,0
K0M,2020-01,0.089980032,0,0.115826686,0
K1B,2020-01,0.155735407,0.014389164,0.036518182,0
K1C,2020-01,0.149307752,0.018701139,0.050546342,0
K1E,2020-01,0.174677016,0.050887427,0.02421544,0
K1G,2020-01,0.165098472,0.016845309,0.058824252,0
K1H,2020-01,0.165278827,0.023274444,0.028304944,0
K1J,2020-01,0.146851741,0.000279204,0.05512782,0
K1K,2020-01,0.151824111,0.002032854,0.056622596,0
K1L,2020-01,0.172712505,0.004757062,0.038167974,0
K1M,2020-01,0.203589032,0.069773607,0.025510875,0
K1N,2020-01,0.16257883,0.009162462,0.073334011,0
K1P,2020-01,0.283678793,0.105532423,0.029870457,0
K1R,2020-01,0.171856718,0.005267341,0.024972964,0
K1S,2020-01,0.16219008,0.022446537,0.04147539,0
K1T,2020-01,0.161767825,0.047925986,0.056733608,0
K1V,2020-01,0.143676005,0.005883333,0.052967505,0
K1W,2020-01,0.189644802,0.109772253,0.032416194,0
K1X,2020-01,0.248052908,0.161041307,0.01524379,0
K1Y,2020-01,0.152917843,0.017102018,0.040056789,0
K1Z,2020-01,0.17971218,0.041273171,0.027815249,0
K2A,2020-01,0.173638303,0.030255177,0.042219476,0
K2B,2020-01,0.142000748,0.001273289,0.047337768,0
K2C,2020-01,0.176947728,0.018108293,0.045960494,0
K2E,2020-01,0.160606998,0.025607606,0.039382385,0
K2G,2020-01,0.159828894,0.036055172,0.051894756,0
K2H,2020-01,0.165393523,0.025104214,0.039975324,0
K2J,2020-01,0.137481661,0.0055854,0.075547502,0
K2K,2020-01,0.138386411,0.013933162,0.061420315,0
K2L,2020-01,0.151649857,0.027374513,0.040109162,0
K2M,2020-01,0.157937451,0.065349719,0.047777126,0
K2P,2020-01,0.17574463,0.034463091,0.025163963,0
K2R,2020-01,0.175173687,0.052623906,0.025702486,0
K2S,2020-01,0.144764852,0.023988886,0.072788914,0
K2T,2020-01,0.158982153,0.04899226,0.038678446,0
K2V,2020-01,0.187606016,0.10755021,0.034712057,0
K2W,2020-01,0.169620988,0.080132099,0.026937107,0
K4A,2020-01,0.1568958,0.034086743,0.070978021,0
K4B,2020-01,0.136125767,0.004426126,0.049244658,0
K4C,2020-01,0.197577214,0.118350554,0.03371429,0
K4K,2020-01,0.122261314,0.000189382,0.091824221,0
K4M,2020-01,0.169140361,0.07451937,0.039963526,0
K4P,2020-01,0.148635759,0.053699061,0.034099252,0
K4R,2020-01,0.147861559,0.017357816,0.062025354,0
K6A,2020-01,0.095399367,0,0.114590681,3.66E-05
K6H,2020-01,0.09497924,0,0.120425979,0.000511865
K6J,2020-01,0.121096418,6.56E-05,0.09409223,0
K6K,2020-01,0.184675723,0.063193278,0.021946331,0
K6T,2020-01,0.177052944,0.108378762,0.011970696,0
K6V,2020-01,0.069105779,0,0.139854363,0.001706808
K7A,2020-01,0.094226138,0,0.099446524,0
K7C,2020-01,0.103441045,0,0.105586808,0
K7G,2020-01,0.080082976,0,0.053573848,0
K7H,2020-01,0.087944323,0,0.10386319,0
K7K,2020-01,0.132799652,0,0.089455797,0
K7L,2020-01,0.164565718,0.062732419,0.110678722,0.007312492
K7M,2020-01,0.123889423,0,0.094903215,0
K7N,2020-01,0.131172484,0.002143394,0.055704617,0
K7P,2020-01,0.147530386,0.013269136,0.053892779,0
K7R,2020-01,0.109077917,0,0.113155933,0
K7S,2020-01,0.132893051,0,0.07718683,0
K7V,2020-01,0.066293426,0,0.144018844,0.000202207
K8A,2020-01,0.085190375,0,0.124257823,4.48E-05
K8B,2020-01,0.191867193,0.162392499,0.000451835,0
K8H,2020-01,0.097052312,0,0.104206769,6.73E-05
K8N,2020-01,0.103864891,0,0.092898065,0
K8P,2020-01,0.120199341,0,0.087007895,0
K8R,2020-01,0.200294057,0.105573511,0.068720844,0
K8V,2020-01,0.080374291,0,0.110064232,0
K9A,2020-01,0.0889649,0,0.119507461,0.000115047
K9H,2020-01,0.135949494,0,0.079516678,0
K9J,2020-01,0.103986297,0,0.100601077,0
K9K,2020-01,0.152792905,0.004922279,0.064691708,0
K9L,2020-01,0.209180187,0.057115609,0.02701168,0
K9V,2020-01,0.080938826,0,0.116146431,0
L0A,2020-01,0.14667778,0.007371886,0.037095409,0
L0B,2020-01,0.128736909,0.003118649,0.040687799,0
L0C,2020-01,0.158506174,0.025122082,0.039284141,0
L0E,2020-01,0.130779967,0,0.069427595,0
L0G,2020-01,0.144102979,0.017069891,0.064982632,0
L0H,2020-01,0.196313911,0.117277228,0.016435203,0
L0J,2020-01,0.170491249,0.065432223,0.044234224,0
L0K,2020-01,0.143079433,0.000165415,0.056587047,0
