"FSA","pop","age"
"K0A",1060,0
"K0A",1145,1
"K0A",1105,2
"K0A",1080,3
"K0A",1230,4
"K0A",1225,5
"K0A",1240,6
"K0A",1310,7
"K0A",1315,8
"K0A",1255,9
"K0A",1225,10
"K0A",1265,11
"K0A",1305,12
"K0A",1185,13
"K0A",1230,14
"K0A",1195,15
"K0A",1245,16
"K0A",1295,17
"K0A",1310,18
"K0A",1220,19
"K0A",1170,20
"K0A",1220,21
"K0A",1060,22
"K0A",1060,23
"K0A",1030,24
"K0A",1050,25
"K0A",1050,26
"K0A",980,27
"K0A",995,28
"K0A",1065,29
"K0A",1115,30
"K0A",1070,31
"K0A",1080,32
"K0A",1105,33
"K0A",1115,34
"K0A",1255,35
"K0A",1225,36
"K0A",1240,37
"K0A",1215,38
"K0A",1340,39
"K0A",1285,40
"K0A",1415,41
"K0A",1320,42
"K0A",1425,43
"K0A",1460,44
"K0A",1540,45
"K0A",1520,46
"K0A",1570,47
"K0A",1480,48
"K0A",1630,49
"K0A",1790,50
"K0A",2005,51
"K0A",1925,52
"K0A",2050,53
"K0A",1940,54
"K0A",1975,55
"K0A",1845,56
"K0A",1780,57
"K0A",1720,58
"K0A",1625,59
"K0A",1565,60
"K0A",1560,61
"K0A",1500,62
"K0A",1370,63
"K0A",1335,64
"K0A",1265,65
"K0A",1260,66
"K0A",1190,67
"K0A",1230,68
"K0A",1270,69
"K0A",935,70
"K0A",895,71
"K0A",880,72
"K0A",795,73
"K0A",730,74
"K0A",605,75
"K0A",510,76
"K0A",475,77
"K0A",460,78
"K0A",390,79
"K0A",415,80
"K0A",305,81
"K0A",285,82
"K0A",275,83
"K0A",285,84
"K0A",250,85
"K0A",230,86
"K0A",170,87
"K0A",135,88
"K0A",140,89
"K0A",125,90
"K0A",95,91
"K0A",90,92
"K0A",70,93
"K0A",60,94
"K0A",40,95
"K0A",25,96
"K0A",20,97
"K0A",10,98
"K0A",10,99
"K0A",20,100
"K0B",155,0
"K0B",175,1
"K0B",170,2
"K0B",200,3
"K0B",170,4
"K0B",195,5
"K0B",205,6
"K0B",190,7
"K0B",200,8
"K0B",215,9
"K0B",200,10
"K0B",200,11
"K0B",225,12
"K0B",200,13
"K0B",220,14
"K0B",220,15
"K0B",235,16
"K0B",215,17
"K0B",225,18
"K0B",220,19
"K0B",210,20
"K0B",220,21
"K0B",220,22
"K0B",230,23
"K0B",215,24
"K0B",210,25
"K0B",220,26
"K0B",210,27
"K0B",195,28
"K0B",210,29
"K0B",205,30
"K0B",180,31
"K0B",200,32
"K0B",200,33
"K0B",190,34
"K0B",180,35
"K0B",195,36
"K0B",195,37
"K0B",215,38
"K0B",220,39
"K0B",225,40
"K0B",235,41
"K0B",225,42
"K0B",250,43
"K0B",285,44
"K0B",240,45
"K0B",290,46
"K0B",285,47
"K0B",270,48
"K0B",320,49
"K0B",390,50
"K0B",375,51
"K0B",395,52
"K0B",415,53
"K0B",415,54
"K0B",425,55
"K0B",395,56
"K0B",445,57
"K0B",410,58
"K0B",370,59
"K0B",360,60
"K0B",390,61
"K0B",335,62
"K0B",305,63
"K0B",315,64
"K0B",315,65
"K0B",305,66
"K0B",285,67
"K0B",305,68
"K0B",285,69
"K0B",260,70
"K0B",260,71
"K0B",270,72
"K0B",220,73
"K0B",210,74
"K0B",185,75
"K0B",155,76
"K0B",145,77
"K0B",155,78
"K0B",105,79
"K0B",135,80
"K0B",105,81
"K0B",100,82
"K0B",85,83
"K0B",70,84
"K0B",65,85
"K0B",60,86
"K0B",55,87
"K0B",55,88
"K0B",40,89
"K0B",35,90
"K0B",45,91
"K0B",40,92
"K0B",20,93
"K0B",15,94
"K0B",10,95
"K0B",5,96
"K0B",10,97
"K0B",5,98
"K0B",5,99
"K0B",5,100
"K0C",510,0
"K0C",485,1
"K0C",500,2
"K0C",510,3
"K0C",505,4
"K0C",515,5
"K0C",570,6
"K0C",545,7
"K0C",625,8
"K0C",550,9
"K0C",550,10
"K0C",575,11
"K0C",585,12
"K0C",560,13
"K0C",565,14
"K0C",575,15
"K0C",600,16
"K0C",590,17
"K0C",595,18
"K0C",530,19
"K0C",600,20
"K0C",550,21
"K0C",530,22
"K0C",515,23
"K0C",515,24
"K0C",485,25
"K0C",460,26
"K0C",465,27
"K0C",445,28
"K0C",495,29
"K0C",495,30
"K0C",510,31
"K0C",500,32
"K0C",485,33
"K0C",500,34
"K0C",525,35
"K0C",535,36
"K0C",500,37
"K0C",530,38
"K0C",595,39
"K0C",510,40
"K0C",570,41
"K0C",580,42
"K0C",620,43
"K0C",655,44
"K0C",655,45
"K0C",635,46
"K0C",700,47
"K0C",715,48
"K0C",750,49
"K0C",795,50
"K0C",925,51
"K0C",985,52
"K0C",955,53
"K0C",970,54
"K0C",955,55
"K0C",955,56
"K0C",905,57
"K0C",975,58
"K0C",830,59
"K0C",875,60
"K0C",900,61
"K0C",845,62
"K0C",785,63
"K0C",735,64
"K0C",780,65
"K0C",765,66
"K0C",690,67
"K0C",730,68
"K0C",750,69
"K0C",615,70
"K0C",560,71
"K0C",540,72
"K0C",540,73
"K0C",495,74
"K0C",465,75
"K0C",405,76
"K0C",385,77
"K0C",385,78
"K0C",315,79
"K0C",305,80
"K0C",270,81
"K0C",265,82
"K0C",225,83
"K0C",230,84
"K0C",210,85
"K0C",150,86
"K0C",155,87
"K0C",175,88
"K0C",130,89
"K0C",135,90
"K0C",100,91
"K0C",95,92
"K0C",70,93
"K0C",50,94
"K0C",55,95
"K0C",25,96
"K0C",10,97
"K0C",10,98
"K0C",10,99
"K0C",15,100
"K0E",345,0
"K0E",310,1
"K0E",375,2
"K0E",380,3
"K0E",360,4
"K0E",345,5
"K0E",410,6
"K0E",385,7
"K0E",420,8
"K0E",410,9
"K0E",400,10
"K0E",370,11
"K0E",365,12
"K0E",395,13
"K0E",400,14
"K0E",430,15
"K0E",500,16
"K0E",440,17
"K0E",435,18
"K0E",405,19
"K0E",420,20
"K0E",385,21
"K0E",385,22
"K0E",400,23
"K0E",330,24
"K0E",335,25
"K0E",375,26
"K0E",320,27
"K0E",325,28
"K0E",340,29
"K0E",310,30
"K0E",360,31
"K0E",380,32
"K0E",370,33
"K0E",345,34
"K0E",375,35
"K0E",365,36
"K0E",380,37
"K0E",370,38
"K0E",370,39
"K0E",450,40
"K0E",415,41
