FSA,devices.total
K0A,89832.109
K0B,17214.135
K0C,42643.131
K0E,31809.132
K0G,31445.494
K0H,36144.332
K0J,26903.869
K0K,93090.071
K0L,60384.31
K0M,40896.832
K1B,15163.292
K1C,31607.346
K1E,12507.275
K1G,29414.874
K1H,13111.393
K1J,23414.996
K1K,26821.58
K1L,15143.445
K1M,5753.714
K1N,22576.706
K1R,17223.833
K1S,24813.329
K1T,32201.477
K1V,47292.837
K1W,10161.949
K1X,1336.597
K1Y,17580.862
K1Z,19246.421
K2A,14248.407
K2B,28244.815
K2C,23553.861
K2E,16027.265
K2G,42210.995
K2H,22101.743
K2J,64659.451
K2K,20966.916
K2L,16024.304
K2M,24791.396
K2P,16509.155
K2R,1053.48
K2S,29591.365
K2T,9592.176
K2V,3859.03
K2W,7279.459
K4A,50645.622
K4B,3983.887
K4C,3740.564
K4K,13565.479
K4M,10693.216
K4P,8440.559
K4R,6560.166
K6A,10446.261
K6H,26639.183
K6J,14165.935
K6K,2652.754
K6V,23263.025
K7A,14051.573
K7C,15742.671
K7G,6850.517
K7H,12673.499
K7K,26952.495
K7L,14631.32
K7M,38443.332
K7N,6714.738
K7P,19305.27
K7R,11965.135
K7S,11112.016
K7V,11099.572
K8A,21468.301
K8H,9955.977
K8N,24281.992
K8P,18048.099
K8R,1333.594
K8V,22653.419
K9A,21503.19
K9H,23576.517
K9J,36182.564
K9K,10796.335
K9L,6277.135
K9V,23108.308
L0A,12203.097
L0B,12944.224
L0C,8015.622
L0E,18064.91
L0G,36878.435
L0H,1651.198
L0J,4261.068
L0K,29930.833
L0L,35654.523
L0M,30289.083
L0N,2926.284
L0P,6709.139
L0R,71422.983
L0S,46846.471
L1A,12757.545
L1B,10119.385
L1C,39075.607
L1E,23910.476
L1G,34688.97
L1H,27003.6
L1J,36130.965
L1K,35453.26
L1L,8954.77
L1M,18353.393
L1N,41162.808
L1P,15104.362
L1R,35434.621
L1S,35687.192
L1T,46398.805
L1V,45563.94
L1W,15084.176
L1X,18214.822
L1Y,1649.358
L1Z,27350.754
L2A,14107.39
L2E,16119.197
L2G,23333.455
L2H,22905.043
L2J,11901.658
L2M,27060.967
L2N,24470.995
L2P,12526.741
L2R,21585.93
L2S,16043.573
L2T,8667.516
L2V,14770.663
L2W,1697.581
L3B,19390.288
L3C,26295.471
L3K,15288.661
L3M,22865.66
L3P,31669.86
L3R,53387.117
L3S,48025.485
L3T,42505.598
L3V,39146.109
L3X,38918.64
L3Y,36524.541
L3Z,34116.898
L4A,39240.442
L4B,31793.683
L4C,63160.6
L4E,46279.147
L4G,51878.65
L4H,61192.405
L4J,66061.717
L4K,14187.373
L4L,46448.854
L4M,38705.296
L4N,85157.269
L4P,25115.991
L4R,15515.501
L4S,31015.95
L4T,33075.265
L4W,17180.986
L4X,16662.031
L4Y,19775.156
L4Z,33364.572
L5A,40924.188
L5B,56197.934
L5C,25673.31
L5E,10801.234
L5G,16959.844
L5H,14860.891
L5J,23841.192
L5K,11749.659
L5L,37828.798
L5M,95572.479
L5N,74741.847
L5P,0.87
L5R,33609.211
L5V,45903.109
L5W,22305.859
L6A,75344.291
L6B,27028.761
L6C,43641.635
L6E,31506.55
L6G,5447.513
L6H,57244.095
L6J,21091.482
L6K,11801.251
L6L,24886.287
L6M,61637.667
L6P,78047.782
L6R,80241.722
