"decile","decile.visited","Bc"
"1","1",0.297837879467385
"2","1",0.181491542960623
"3","1",0.10219001723508
"4","1",0.0757527618131139
"5","1",0.0844403980977869
"6","1",0.0746046775858039
"7","1",0.0682750518654569
"8","1",0.0589364732546773
"9","1",0.0468918888072929
"10","1",0.0437636970628781
"1","2",0.185694304319306
"2","2",0.213385570831015
"3","2",0.153017751113249
"4","2",0.106686757144859
"5","2",0.0973143614004973
"6","2",0.0836672686257642
"7","2",0.0753158937662302
"8","2",0.0661531293385319
"9","2",0.0488401525577713
"10","2",0.0462077212251227
"1","3",0.0932289759548162
"2","3",0.123539188112502
"3","3",0.129712565467256
"4","3",0.138943173368589
"5","3",0.101802649804231
"6","3",0.10216460583396
"7","3",0.0852621581977721
"8","3",0.0696574699868259
"9","3",0.057408999049811
"10","3",0.0464629225565951
"1","4",0.0620804300430545
"2","4",0.0779257449175762
"3","4",0.134556354075729
"4","4",0.128619268377174
"5","4",0.125176572031081
"6","4",0.112891578703304
"7","4",0.0900787114482838
"8","4",0.0850162093034856
"9","4",0.0739810358721802
"10","4",0.0530224442897923
"1","5",0.0709626144869508
"2","5",0.0878914287495447
"3","5",0.108871480047051
"4","5",0.124178211562898
"5","5",0.105233865441028
"6","5",0.121600968998261
"7","5",0.10696800328135
"8","5",0.114246880806927
"9","5",0.0757350109040441
"10","5",0.0621752891232382
"1","6",0.0785998488292784
"2","6",0.0846092788782667
"3","6",0.103508400703948
"4","6",0.119169819329565
"5","6",0.133370594021989
"6","6",0.124734328449225
"7","6",0.140198639150266
"8","6",0.121343451101231
"9","6",0.0988492454360061
"10","6",0.0721254718121239
"1","7",0.0729509660133688
"2","7",0.0794841147366809
"3","7",0.0911394580877924
"4","7",0.0948235291486736
"5","7",0.114365099650514
"6","7",0.11861327103786
"7","7",0.143936307527585
"8","7",0.137071573100552
"9","7",0.0984309809224011
"10","7",0.0672714540352888
"1","8",0.0571533739402444
"2","8",0.0633478273047713
"3","8",0.0706565575741187
"4","8",0.0873998170246219
"5","8",0.102328386280618
"6","8",0.107663265597124
"7","8",0.133414337531928
"8","8",0.134738259685249
"9","8",0.146648638072173
"10","8",0.0934106698119061
"1","9",0.0426291605999437
"2","9",0.0463722618106219
"3","9",0.0595128615267906
"4","9",0.0702185932621779
"5","9",0.0769484497707391
"6","9",0.0868813248190123
"7","9",0.0908878373156552
"8","9",0.129048058239134
"9","9",0.209354440481261
"10","9",0.169356633578219
"1","10",0.0388624463456527
"2","10",0.0419530416983986
"3","10",0.0468345541689852
"4","10",0.0542080689683277
"5","10",0.0590196235015177
"6","10",0.0671787103496861
"7","10",0.0656630599154728
"8","10",0.0837884951833865
"9","10",0.143859607897059
"10","10",0.346203696504836
