decile,t,cases
1,2020-12-01,628
1,2020-12-02,581
1,2020-12-03,548
1,2020-12-04,576
1,2020-12-05,544
1,2020-12-06,500
1,2020-12-07,621
1,2020-12-08,559
1,2020-12-09,528
1,2020-12-10,559
1,2020-12-11,566
1,2020-12-12,563
1,2020-12-13,503
1,2020-12-14,633
1,2020-12-15,579
1,2020-12-16,622
1,2020-12-17,534
1,2020-12-18,566
1,2020-12-19,521
1,2020-12-20,461
1,2020-12-21,637
1,2020-12-22,623
1,2020-12-23,630
1,2020-12-24,661
1,2020-12-25,553
1,2020-12-26,688
1,2020-12-27,638
1,2020-12-28,790
1,2020-12-29,754
1,2020-12-30,680
1,2020-12-31,713
1,2021-01-01,766
1,2021-01-02,752
1,2021-01-03,708
1,2021-01-04,862
1,2021-01-05,752
1,2021-01-06,779
1,2021-01-07,697
1,2021-01-08,721
1,2021-01-09,658
1,2021-01-10,540
1,2021-01-11,712
1,2021-01-12,646
1,2021-01-13,694
1,2021-01-14,647
1,2021-01-15,643
1,2021-01-16,553
1,2021-01-17,491
1,2021-01-18,624
1,2021-01-19,559
1,2021-01-20,522
1,2021-01-21,502
1,2021-01-22,509
1,2021-01-23,426
1,2021-01-24,352
1,2021-01-25,442
1,2021-01-26,434
1,2021-01-27,445
1,2021-01-28,412
1,2021-01-29,419
1,2021-01-30,361
1,2021-01-31,262
1,2021-02-01,364
1,2021-02-02,354
1,2021-02-03,314
1,2021-02-04,304
1,2021-02-05,291
1,2021-02-06,292
1,2021-02-07,225
1,2021-02-08,317
1,2021-02-09,281
1,2021-02-10,247
1,2021-02-11,246
1,2021-02-12,301
1,2021-02-13,220
1,2021-02-14,215
1,2021-02-15,234
1,2021-02-16,280
1,2021-02-17,268
1,2021-02-18,257
1,2021-02-19,290
1,2021-02-20,252
1,2021-02-21,203
1,2021-02-22,270
1,2021-02-23,262
1,2021-02-24,231
1,2021-02-25,242
1,2021-02-26,245
1,2021-02-27,255
1,2021-02-28,220
1,2021-03-01,321
1,2021-03-02,297
1,2021-03-03,299
1,2021-03-04,299
1,2021-03-05,307
1,2021-03-06,278
1,2021-03-07,294
1,2021-03-08,364
1,2021-03-09,336
1,2021-03-10,400
1,2021-03-11,319
1,2021-03-12,359
1,2021-03-13,320
1,2021-03-14,293
1,2021-03-15,461
1,2021-03-16,454
1,2021-03-17,460
1,2021-03-18,442
1,2021-03-19,451
1,2021-03-20,475
1,2021-03-21,413
1,2021-03-22,587
1,2021-03-23,592
1,2021-03-24,618
1,2021-03-25,550
1,2021-03-26,591
1,2021-03-27,563
1,2021-03-28,565
1,2021-03-29,704
1,2021-03-30,679
1,2021-03-31,700
1,2021-04-01,851
1,2021-04-02,738
1,2021-04-03,767
1,2021-04-04,806
1,2021-04-05,1057
1,2021-04-06,1043
1,2021-04-07,1068
1,2021-04-08,991
1,2021-04-09,1052
1,2021-04-10,969
1,2021-04-11,914
1,2021-04-12,1064
1,2021-04-13,1024
1,2021-04-14,1046
1,2021-04-15,1003
1,2021-04-16,1022
1,2021-04-17,945
1,2021-04-18,894
1,2021-04-19,1079
1,2021-04-20,1006
1,2021-04-21,1000
1,2021-04-22,967
1,2021-04-23,1016
1,2021-04-24,888
1,2021-04-25,752
1,2021-04-26,966
1,2021-04-27,849
1,2021-04-28,922
1,2021-04-29,717
1,2021-04-30,780
2,2020-12-01,368
2,2020-12-02,388
2,2020-12-03,402
2,2020-12-04,377
2,2020-12-05,317
2,2020-12-06,293
2,2020-12-07,429
2,2020-12-08,418
2,2020-12-09,361
2,2020-12-10,391
2,2020-12-11,385
2,2020-12-12,369
2,2020-12-13,363
2,2020-12-14,421
2,2020-12-15,371
2,2020-12-16,468
2,2020-12-17,363
2,2020-12-18,377
2,2020-12-19,397
2,2020-12-20,388
2,2020-12-21,451
2,2020-12-22,443
2,2020-12-23,444
2,2020-12-24,489
2,2020-12-25,420
2,2020-12-26,522
2,2020-12-27,510
2,2020-12-28,582
2,2020-12-29,514
2,2020-12-30,549
2,2020-12-31,493
2,2021-01-01,579
2,2021-01-02,521
2,2021-01-03,477
2,2021-01-04,640
2,2021-01-05,515
2,2021-01-06,494
2,2021-01-07,438
2,2021-01-08,477
2,2021-01-09,384
2,2021-01-10,375
2,2021-01-11,457
2,2021-01-12,405
2,2021-01-13,417
2,2021-01-14,442
2,2021-01-15,467
2,2021-01-16,348
2,2021-01-17,336
2,2021-01-18,406
2,2021-01-19,308
2,2021-01-20,335
2,2021-01-21,358
2,2021-01-22,323
2,2021-01-23,282
2,2021-01-24,264
2,2021-01-25,304
2,2021-01-26,288
2,2021-01-27,286
2,2021-01-28,266
2,2021-01-29,246
2,2021-01-30,203
2,2021-01-31,190
2,2021-02-01,286
2,2021-02-02,227
2,2021-02-03,257
2,2021-02-04,239
2,2021-02-05,241
2,2021-02-06,195
2,2021-02-07,191
2,2021-02-08,241
2,2021-02-09,198
2,2021-02-10,200
2,2021-02-11,205
2,2021-02-12,195
2,2021-02-13,177
2,2021-02-14,162
2,2021-02-15,194
2,2021-02-16,174
2,2021-02-17,200
2,2021-02-18,191
2,2021-02-19,185
2,2021-02-20,171
2,2021-02-21,138
2,2021-02-22,222
2,2021-02-23,180
2,2021-02-24,150
2,2021-02-25,165
2,2021-02-26,181
2,2021-02-27,206
2,2021-02-28,139
2,2021-03-01,204
2,2021-03-02,197
2,2021-03-03,205
2,2021-03-04,193
2,2021-03-05,228
2,2021-03-06,187
2,2021-03-07,184
2,2021-03-08,243
2,2021-03-09,242
2,2021-03-10,233
2,2021-03-11,220
2,2021-03-12,220
2,2021-03-13,241
2,2021-03-14,201
2,2021-03-15,308
2,2021-03-16,294
2,2021-03-17,311
2,2021-03-18,347
2,2021-03-19,318
2,2021-03-20,313
2,2021-03-21,350
2,2021-03-22,389
2,2021-03-23,414
2,2021-03-24,455
2,2021-03-25,408
2,2021-03-26,500
2,2021-03-27,472
2,2021-03-28,396
2,2021-03-29,533
2,2021-03-30,499
2,2021-03-31,532
2,2021-04-01,668
2,2021-04-02,606
2,2021-04-03,594
2,2021-04-04,582
2,2021-04-05,793
2,2021-04-06,824
2,2021-04-07,809
2,2021-04-08,748
2,2021-04-09,794
2,2021-04-10,753
2,2021-04-11,641
2,2021-04-12,713
2,2021-04-13,682
2,2021-04-14,722
2,2021-04-15,721
2,2021-04-16,662
2,2021-04-17,669
2,2021-04-18,604
2,2021-04-19,744
2,2021-04-20,699
2,2021-04-21,646
2,2021-04-22,608
2,2021-04-23,671
2,2021-04-24,529
2,2021-04-25,491
2,2021-04-26,629
2,2021-04-27,581
2,2021-04-28,598
2,2021-04-29,527
2,2021-04-30,561
3,2020-12-01,222
3,2020-12-02,206
3,2020-12-03,204
3,2020-12-04,208
3,2020-12-05,193
3,2020-12-06,210
3,2020-12-07,293
3,2020-12-08,260
3,2020-12-09,288
3,2020-12-10,256
3,2020-12-11,291
3,2020-12-12,274
3,2020-12-13,280
3,2020-12-14,358
3,2020-12-15,356
3,2020-12-16,279
3,2020-12-17,317
3,2020-12-18,345
3,2020-12-19,310
3,2020-12-20,265
3,2020-12-21,374
3,2020-12-22,300
3,2020-12-23,359
3,2020-12-24,358
3,2020-12-25,300
3,2020-12-26,418
3,2020-12-27,434
3,2020-12-28,453
3,2020-12-29,445
3,2020-12-30,400
3,2020-12-31,454
3,2021-01-01,359
3,2021-01-02,388
3,2021-01-03,398
3,2021-01-04,508
3,2021-01-05,398
3,2021-01-06,409
3,2021-01-07,334
3,2021-01-08,334
3,2021-01-09,336
3,2021-01-10,330
3,2021-01-11,365
3,2021-01-12,310
3,2021-01-13,321
3,2021-01-14,309
3,2021-01-15,301
3,2021-01-16,285
3,2021-01-17,240
3,2021-01-18,291
3,2021-01-19,239
3,2021-01-20,236
3,2021-01-21,224
3,2021-01-22,242
3,2021-01-23,201
3,2021-01-24,179
3,2021-01-25,209
3,2021-01-26,197
3,2021-01-27,190
3,2021-01-28,180
3,2021-01-29,181
3,2021-01-30,149
3,2021-01-31,162
3,2021-02-01,217
3,2021-02-02,145
3,2021-02-03,162
3,2021-02-04,164
3,2021-02-05,144
3,2021-02-06,144
3,2021-02-07,117
3,2021-02-08,145
3,2021-02-09,135
3,2021-02-10,152
3,2021-02-11,123
3,2021-02-12,133
3,2021-02-13,143
3,2021-02-14,101
3,2021-02-15,145
3,2021-02-16,119
3,2021-02-17,130
3,2021-02-18,136
3,2021-02-19,143
3,2021-02-20,113
3,2021-02-21,107
3,2021-02-22,129
3,2021-02-23,122
3,2021-02-24,107
3,2021-02-25,119
3,2021-02-26,107
3,2021-02-27,106
3,2021-02-28,107
3,2021-03-01,158
3,2021-03-02,129
3,2021-03-03,120
3,2021-03-04,139
3,2021-03-05,144
3,2021-03-06,141
3,2021-03-07,132
3,2021-03-08,157
3,2021-03-09,182
3,2021-03-10,201
3,2021-03-11,149
3,2021-03-12,174
3,2021-03-13,164
3,2021-03-14,166
3,2021-03-15,234
3,2021-03-16,215
3,2021-03-17,274
3,2021-03-18,192
3,2021-03-19,263
3,2021-03-20,222
3,2021-03-21,265
3,2021-03-22,281
3,2021-03-23,345
3,2021-03-24,335
3,2021-03-25,287
3,2021-03-26,317
3,2021-03-27,290
3,2021-03-28,325
3,2021-03-29,402
3,2021-03-30,415
3,2021-03-31,378
3,2021-04-01,507
3,2021-04-02,436
3,2021-04-03,383
3,2021-04-04,445
3,2021-04-05,590
3,2021-04-06,583
3,2021-04-07,554
3,2021-04-08,514
3,2021-04-09,560
3,2021-04-10,510
3,2021-04-11,469
3,2021-04-12,563
3,2021-04-13,505
3,2021-04-14,544
3,2021-04-15,504
3,2021-04-16,520
3,2021-04-17,481
3,2021-04-18,465
3,2021-04-19,538
3,2021-04-20,547
3,2021-04-21,529
3,2021-04-22,455
3,2021-04-23,442
3,2021-04-24,422
3,2021-04-25,377
3,2021-04-26,455
3,2021-04-27,457
3,2021-04-28,476
3,2021-04-29,426
3,2021-04-30,426
4,2020-12-01,174
4,2020-12-02,170
4,2020-12-03,202
4,2020-12-04,203
4,2020-12-05,159
4,2020-12-06,154
4,2020-12-07,212
4,2020-12-08,224
4,2020-12-09,244
4,2020-12-10,198
4,2020-12-11,245
4,2020-12-12,175
4,2020-12-13,174
4,2020-12-14,261
4,2020-12-15,204
4,2020-12-16,243
4,2020-12-17,237
4,2020-12-18,215
4,2020-12-19,188
4,2020-12-20,276
